BTCUSDC,BTCUSDC,7180.09
THETABTC,THETABTC,1.205e-05
BRDETH,BRDETH,0.0020431
TOMOBTC,TOMOBTC,8.326e-05
MFTUSDT,MFTUSDT,0.000885
HBARUSDT,HBARUSDT,0.01445
CTXCUSDT,CTXCUSDT,0.0641
ONGUSDT,ONGUSDT,0.1025
BCHUSDC,BCHUSDC,190.75
EOSBTC,EOSBTC,0.0003543
AIONETH,AIONETH,0.00044
STXBTC,STXBTC,1.558e-05
ZRXBTC,ZRXBTC,2.534e-05
ZILUSDT,ZILUSDT,0.00466
EOSBUSD,EOSBUSD,2.5396
KEYUSDT,KEYUSDT,0.001689
BTCBUSD,BTCBUSD,7170.41
ONTBTC,ONTBTC,7.15e-05
REQETH,REQETH,8.142e-05
ETHUSDT,ETHUSDT,125.02
OAXETH,OAXETH,0.0003968
